Marginal:
    "x0|Animals|Fish|-pet,fish,lives_in_home,-eaten,gills,-legs|fish ; " : 0.0015
    "x0|Animals|Fish|-pet,fish,-lives_in_home,eaten,gills,-legs|-pet,fish,eaten,gills ; " : 0.0015
    "x0|Animals|Fish|-pet,fish,lives_in_home,eaten,gills,-legs|fish,lives_in_home,gills,-legs ; " : 0.0015
    "x0|Animals|Fish|pet,fish,-lives_in_home,eaten,gills,-legs|fish,-lives_in_home,gills,-legs ; " : 0.0015
    "x0|Animals|Fish|-pet,fish,lives_in_home,eaten,gills,-legs|fish,lives_in_home ; " : 0.0015
    "x0|Animals|Fish|-pet,fish,lives_in_home,-eaten,gills,-legs|fish,gills ; " : 0.0015
    "x0|Animals|Fish|-pet,fish,-lives_in_home,-eaten,gills,-legs|fish,-lives_in_home ; " : 0.0015
    "x0|Animals|Fish|pet,fish,lives_in_home,eaten,gills,-legs|fish,eaten ; " : 0.001
    "x0|Animals|Fish|-pet,fish,-lives_in_home,-eaten,gills,-legs|-pet,fish,-legs ; " : 0.001
    "x0|Animals|Fish|-pet,fish,-lives_in_home,eaten,gills,-legs|-pet,fish,eaten ; " : 0.001
    "x0|Animals|Fish|pet,fish,lives_in_home,eaten,gills,-legs|fish,gills,-legs ; " : 0.001
    "x0|Animals|Fish|-pet,fish,-lives_in_home,eaten,gills,-legs|-pet,fish,-legs ; " : 0.001
    "x0|Animals|Fish|pet,fish,lives_in_home,eaten,gills,-legs|fish,-legs ; " : 0.001
    "x0|Animals|Fish|-pet,fish,-lives_in_home,-eaten,gills,-legs|-pet,fish,-eaten,-legs ; " : 0.001
    "x0|Animals|Fish|pet,fish,lives_in_home,eaten,gills,-legs|fish,eaten,-legs ; " : 0.001
    "x0|Animals|Fish|-pet,fish,lives_in_home,eaten,gills,-legs|fish,lives_in_home,-legs ; " : 0.001
    "x0|Animals|Fish|-pet,fish,-lives_in_home,-eaten,gills,-legs|fish,-lives_in_home,-eaten,-legs ; " : 0.001
    "x0|Animals|Fish|pet,fish,lives_in_home,eaten,gills,-legs|fish,lives_in_home,gills ; " : 0.001
    "x0|Animals|Fish|-pet,fish,lives_in_home,eaten,gills,-legs|fish,lives_in_home,eaten ; " : 0.001
    "x0|Animals|Fish|-pet,fish,lives_in_home,eaten,gills,-legs|fish,lives_in_home,gills ; " : 0.001
    "x0|Animals|Fish|pet,fish,-lives_in_home,-eaten,gills,-legs|fish,gills,-legs ; " : 0.001
    "x0|Animals|Fish|pet,fish,-lives_in_home,eaten,gills,-legs|fish,-lives_in_home ; " : 0.001
    "x0|Animals|Fish|pet,fish,-lives_in_home,eaten,gills,-legs|fish,-lives_in_home,eaten,gills,-legs ; " : 0.001
    "x0|Animals|Fish|-pet,fish,lives_in_home,eaten,gills,-legs|fish,lives_in_home,eaten,gills,-legs ; " : 0.001
    "x0|Animals|Fish|-pet,fish,lives_in_home,eaten,gills,-legs|-pet,fish,gills ; " : 0.0005
    "x0|Animals|Fish|pet,fish,lives_in_home,eaten,gills,-legs|fish,eaten,gills,-legs ; " : 0.0005
    "x0|Animals|Fish|-pet,fish,lives_in_home,eaten,gills,-legs|-pet,fish,eaten,gills ; " : 0.0005
    "x0|Animals|Fish|pet,fish,lives_in_home,eaten,gills,-legs|fish,gills ; " : 0.0005
    "x0|Animals|Fish|pet,fish,lives_in_home,eaten,gills,-legs|pet,fish,eaten,gills,-legs ; " : 0.0005
    "x0|Animals|Fish|-pet,fish,-lives_in_home,eaten,gills,-legs|-pet,fish,gills,-legs ; " : 0.0005
    "x0|Animals|Fish|pet,fish,-lives_in_home,-eaten,gills,-legs|fish,gills ; " : 0.0005
    "x0|Animals|Fish|-pet,fish,lives_in_home,-eaten,gills,-legs|fish,-eaten ; " : 0.0005
    "x0|Animals|Fish|pet,fish,-lives_in_home,eaten,gills,-legs|pet,fish,gills ; " : 0.0005
    "x0|Animals|Fish|pet,fish,-lives_in_home,-eaten,gills,-legs|pet,fish,-eaten ; " : 0.0005
    "x0|Animals|Fish|pet,fish,-lives_in_home,eaten,gills,-legs|fish,-lives_in_home,eaten,-legs ; " : 0.0005
    "x0|Animals|Fish|pet,fish,lives_in_home,eaten,gills,-legs|fish,lives_in_home,-legs ; " : 0.0005
    "x0|Animals|Fish|-pet,fish,lives_in_home,eaten,gills,-legs|-pet,fish,lives_in_home,-legs ; " : 0.0005
    "x0|Animals|Fish|pet,fish,lives_in_home,eaten,gills,-legs|fish,lives_in_home,eaten,gills ; " : 0.0005
    "x0|Animals|Fish|-pet,fish,-lives_in_home,eaten,gills,-legs|-pet,fish,eaten,-legs ; " : 0.0005
    "x0|Animals|Fish|pet,fish,-lives_in_home,eaten,gills,-legs|pet,fish,eaten,gills,-legs ; " : 0.0005
    "x0|Animals|Fish|-pet,fish,-lives_in_home,eaten,gills,-legs|-pet,fish,gills ; " : 0.0005
    "x0|Animals|Fish|pet,fish,lives_in_home,eaten,gills,-legs|fish,lives_in_home,gills,-legs ; " : 0.0005
    "x0|Animals|Fish|-pet,fish,lives_in_home,-eaten,gills,-legs|fish,lives_in_home,gills,-legs ; " : 0.0005
    "x0|Animals|Fish|pet,fish,-lives_in_home,eaten,gills,-legs|fish,-lives_in_home,-legs ; " : 0.0005
    "x0|Animals|Fish|-pet,fish,-lives_in_home,-eaten,gills,-legs|fish,-lives_in_home,gills,-legs ; " : 0.0005
    "x0|Animals|Fish|pet,fish,-lives_in_home,eaten,gills,-legs|fish,-lives_in_home,eaten,gills ; " : 0.0005
    "x0|Animals|Fish|pet,fish,-lives_in_home,-eaten,gills,-legs|pet,fish,-eaten,gills ; " : 0.0005
    "x0|Animals|Fish|pet,fish,-lives_in_home,-eaten,gills,-legs|fish,-legs ; " : 0.0005
    "x0|Animals|Fish|pet,fish,-lives_in_home,-eaten,gills,-legs|fish ; " : 0.0005
    "x0|Animals|Fish|pet,fish,-lives_in_home,-eaten,gills,-legs|fish,-eaten,gills,-legs ; " : 0.0005
    "x0|Animals|Fish|-pet,fish,-lives_in_home,-eaten,gills,-legs|fish,-lives_in_home,-legs ; " : 0.0005
    "x0|Animals|Fish|-pet,fish,lives_in_home,-eaten,gills,-legs|fish,-eaten,gills ; " : 0.0005
    "x0|Animals|Fish|pet,fish,lives_in_home,eaten,gills,-legs|fish ; " : 0.0005
