Marginal:
    "x0|Animals|Pet|pet,-fish,lives_in_home,-eaten,gills,legs|pet,-eaten,gills,legs ; " : 0.0005
    "x0|Animals|Pet|pet,fish,lives_in_home,-eaten,gills,legs|pet,lives_in_home,-eaten ; " : 0.0005
    "x0|Animals|Pet|pet,fish,lives_in_home,-eaten,-gills,legs|pet,-eaten,-gills ; " : 0.0005
    "x0|Animals|Pet|pet,fish,lives_in_home,-eaten,gills,legs|pet ; " : 0.0005
    "x0|Animals|Pet|pet,fish,lives_in_home,-eaten,-gills,legs|pet,-gills ; " : 0.0005
    "x0|Animals|Pet|pet,fish,lives_in_home,-eaten,-gills,legs|pet,-eaten,legs ; " : 0.0005
    "x0|Animals|Pet|pet,-fish,lives_in_home,-eaten,gills,legs|pet,-eaten ; " : 0.0005
    "x0|Animals|Pet|pet,-fish,lives_in_home,-eaten,-gills,legs|pet,-eaten,-gills,legs ; " : 0.0005
    "x0|Animals|Pet|pet,-fish,lives_in_home,-eaten,-gills,legs|pet,-gills,legs ; " : 0.0005
    "x0|Animals|Pet|pet,-fish,lives_in_home,-eaten,-gills,-legs|pet,-eaten,-legs ; " : 0.0005
    "x0|Animals|Pet|pet,-fish,lives_in_home,-eaten,gills,legs|pet,lives_in_home,-eaten,gills ; " : 0.0005
    "x0|Animals|Pet|pet,fish,lives_in_home,-eaten,-gills,-legs|pet,-legs ; " : 0.0005
    "x0|Animals|Pet|pet,fish,lives_in_home,-eaten,-gills,legs|pet,lives_in_home,-eaten,legs ; " : 0.0005
    "x0|Animals|Pet|pet,-fish,lives_in_home,-eaten,gills,-legs|pet ; " : 0.0005
    "x0|Animals|Pet|pet,fish,lives_in_home,-eaten,gills,legs|pet,lives_in_home,legs ; " : 0.0005
