Marginal:
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,associated_with_vampires|bat,has_wings,screeches,has_fangs ; " : 0.0085
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs ; " : 0.0085
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat,has_wings,nocturnal,animal,has_fangs,-associated_with_vampires ; " : 0.0085
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,associated_with_vampires|bat,has_wings,furry,animal,has_fangs ; " : 0.008
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,-associated_with_vampires|bat,has_wings,-screeches,has_fangs ; " : 0.0075
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,associated_with_vampires|bat,has_wings,nocturnal,-screeches,has_fangs ; " : 0.007
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat,has_wings,has_fangs,-associated_with_vampires ; " : 0.007
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,-associated_with_vampires|bat,has_wings,nocturnal,furry,-screeches,has_fangs ; " : 0.007
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat,has_wings,animal,screeches,has_fangs ; " : 0.0065
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,associated_with_vampires|bat,has_wings,nocturnal,has_fangs,associated_with_vampires ; " : 0.0065
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,-associated_with_vampires|bat,has_wings,nocturnal,furry,has_fangs,-associated_with_vampires ; " : 0.0065
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,associated_with_vampires|bat,has_wings,nocturnal,furry,has_fangs ; " : 0.0065
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,screeches,has_fangs,associated_with_vampires|bat,has_wings,nocturnal,furry,has_fangs,associated_with_vampires ; " : 0.006
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,-associated_with_vampires|bat,has_wings,animal,-screeches,has_fangs ; " : 0.006
    "x0|gothic,gothic|Bat-animal,Fanged|bat,has_wings,nocturnal,furry,animal,-screeches,has_fangs,-associated_with_vampires|bat,has_wings,nocturnal,animal,-screeches,has_fangs ; " : 0.006
